|KegiatanPolisi|,|@DivHumas_Polri: Jenazah Pilot Lion Air JT610 Berhasil Teridentifikasi\n\n#PolriPromoter #PolriHumanis #ThinkBeforePosting @PolriMultimedi\xe2\x80\xa6|,
|KegiatanPolisi|,|@DivHumas_Polri: Tak Bayar Pajak Tahunan Polisi Berwenang Tilang dan Sita Kendaraan \n\nSelengkapnya \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/Pyp1GK8EPm\n\n#Korlant\xe2\x80\xa6|,
|KegiatanPolisi|,|@DivHumas_Polri: 16 Jenazah Korban Lio Air JT610 Teridentifikasi\n\nBerikut identitas jenazah Lion Air JT610 yang baru teridentifikasi :\xe2\x80\xa6|,
|KomentarMasyarakat|,|@BANGJAR14680450 @Fadlu0407Fadlu @DivHumas_Polri Saya bayar sama kaya yg tertera di stnk tuh?|,
|KomentarMasyarakat|,|Sblum tambah merepotkan aparatlebih baik kepolisian @DivHumas_Polri melarang/membatasi kegiatan itu!!! https://t.co/hRR9fI8n6Z|,
|KomentarMasyarakat|,|@Jhonnymangmail1: @chicohakim @Airin_NZ @DivHumas_Polri Nah itu dia kok bisa Seenaknya ya team mereka maling  cukup mengembalikan  seles\xe2\x80\xa6|,
|KegiatanPolisi|,|hoax laporan|,
|KomentarMasyarakat|,|@chicohakim: Kalau maling ayam mengembalikan ayam juga akan dihentikan proses hukumnya Pak @DivHumas_Polri ? Ini pertanyaan serius...|,
|KomentarMasyarakat|,|@KoRnHurry: Tolong Viral kan ! \n\nPemilik akun ini rela di Bui untuk memenggal leher KH.Muwafiq\n\nCc. @DivHumas_Polri @BSSN_RI @bareskrim2\xe2\x80\xa6|,
|KomentarMasyarakat|,|@agungputra_LNG: @WajahMuslim17 @HAhmadCharlesS1 Share detail oknum ini mba..semoga bisa dilacak  @DivHumas_Polri|,
|KegiatanPolisi|,|@DivHumas_Polri: Tak Bayar Pajak Tahunan Polisi Berwenang Tilang dan Sita Kendaraan \n\nSelengkapnya \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/Pyp1GK8EPm\n\n#Korlant\xe2\x80\xa6|,
|KomentarMasyarakat|,|@newsjundi: @DivHumas_Polri @haikal_hassan @PolriMultimedia maaf komndan @DivHumas_Polri bukn 40 ribu...tp 10 juta lebih..tanyakn saja k\xe2\x80\xa6|,
|KomentarMasyarakat|,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Cuman 2 orang ko pak yg hadir kok di tambah2in... Banyak lagi nambahinya…|,
|KomentarMasyarakat|,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Mungkin yang dimaksud 40rb peserta itu TNI POLRI  tapi gak apalah\xe2\x80\xa6 https://t.co/ayLs8cT64U|,
|KomentarMasyarakat|,|@Dennysiregar7 @DivHumas_Polri yaelah masih besaran jumlah konser kpop papan atas..yg sekali konser bisa sampe 45K -55K\xf0\x9f\x98\x86|,
|KomentarMasyarakat|,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Pakai ilmu statistika terapan dikit napeh..?\nMasa bejibun begitu di\xe2\x80\xa6 https://t.co/ToRKaSS4Eb|,
|KomentarMasyarakat|,|@DivHumas_Polri @PolriMultimedia Boleh tau gak metode ataupun teknik penghitungan jumlah orang yang disebutkan?|,
|KomentarMasyarakat|,|dibahas|,
